Scanning candidates...
Since: 2026-07-01
Delta range: 1.0h — 1440.0h
Analysis cross-check: enabled

hash_prefix,song_id,album,title,db_updated_at,r2_last_modified,delta_h,lrc_job_id,analyze_job_id,key_detected_at,analyze_job_done,job_completed_at,analyze_bump,bump_source,manual_edit_after_autogen,lrc_status,analyze_status,lrc_error,analyze_error,lrc_result_url,lrc_source,lrc_line_count,key_detected_at_drift,lrc_url_drift,stem_bump_attributable_to_stems,transcript_source_bias,debug_notes,verdict,recommendation
bcf57f2d33f4,xin_zao_de_ren_a64e5bd7,讓讚美飛揚,新造的人,2026-07-17 03:39:43 UTC,2026-07-14T04:35:00+00:00,71.07865469833334,job_d93b5ccdbaa8,job_7641b091f784,2026-07-17T03:39:40.701192+00:00,2026-07-17 03:39:40 UTC,2026-07-14T04:35:00.582489+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/bcf57f2d33f4/lyrics.lrc,youtube_transcript,11,False,False,False,False,"{'delta_h': 71.07865469833334, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
5d33151efb1e,wo_men_shi_guang_ming_zhi_zi_829b91b5,讓讚美飛揚,我們是光明之子,2026-07-17 03:39:22 UTC,2026-07-14T04:34:22+00:00,71.08335481805555,job_0a8a9025e9ab,job_d439cc558ba7,2026-07-17T03:39:20.923604+00:00,2026-07-17 03:39:20 UTC,2026-07-14T04:34:22.931617+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/5d33151efb1e/lyrics.lrc,youtube_transcript,28,False,False,False,False,"{'delta_h': 71.08335481805555, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
8720ed26892f,quan_ran_xiang_mi_79bb05cb,讓讚美飛揚,全然向祢,2026-07-17 03:39:16 UTC,2026-07-17T01:00:23+00:00,2.6480926194444443,job_514a6c4884db,job_d16e76ebfd06,2026-07-17T03:39:13.355028+00:00,2026-07-17 03:39:13 UTC,2026-07-17T01:00:24.154076+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/8720ed26892f/lyrics.lrc,qwen3_asr,36,False,False,False,False,"{'delta_h': 2.6480926194444443, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
a7c987ce9b53,guang_ming_zhi_zi_fc796881,讓讚美飛揚,光明之子,2026-07-17 03:39:10 UTC,2026-07-17T01:01:28+00:00,2.6283937083333337,job_3e817022d40a,job_baad07f9f521,2026-07-17T03:39:07.513085+00:00,2026-07-17 03:39:07 UTC,2026-07-17T01:01:28.501958+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/a7c987ce9b53/lyrics.lrc,qwen3_asr,21,False,False,False,False,"{'delta_h': 2.6283937083333337, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
d92c9f713880,pei_wo_zou_edee52c2,讓愛走動,陪我走,2026-07-17 03:38:59 UTC,2026-07-14T04:33:01+00:00,71.09952699972222,job_b464112d7e39,job_9bdbb98b1a0c,2026-07-17T03:38:53.727797+00:00,2026-07-17 03:38:53 UTC,2026-07-14T04:33:01.384263+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/d92c9f713880/lyrics.lrc,youtube_transcript,54,False,False,False,False,"{'delta_h': 71.09952699972222, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
1484a6d9c88a,yuan_wei_zhu_shan_liang_080c153c,讓愛走動,願為主閃亮,2026-07-17 03:38:53 UTC,2026-07-14T04:32:53+00:00,71.100070065,job_4d3c3479931b,job_11982d35425a,2026-07-17T03:38:52.787690+00:00,2026-07-17 03:38:52 UTC,2026-07-14T04:32:53.356422+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/1484a6d9c88a/lyrics.lrc,youtube_transcript,20,False,False,False,False,"{'delta_h': 71.100070065, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
8cf17f4e75b4,zhe_yi_sheng_zui_mei_de_zhu_fu_20babfd6,讓愛走動,這一生最美的祝福,2026-07-17 03:38:37 UTC,2026-07-14T04:32:22+00:00,71.104193415,job_4448b8fd2e39,job_b63c7403f765,2026-07-17T03:38:32.025803+00:00,2026-07-17 03:38:32 UTC,2026-07-14T04:32:23.166774+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/8cf17f4e75b4/lyrics.lrc,youtube_transcript,28,False,False,False,False,"{'delta_h': 71.104193415, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
e544881d7018,rang_ai_zou_dong_eb895b1e,讓愛走動,讓愛走動,2026-07-17 03:38:31 UTC,2026-07-14T04:32:05+00:00,71.10728534527777,job_d73000ddb2ed,job_91635cc35fa6,2026-07-17T03:38:27.798561+00:00,2026-07-17 03:38:27 UTC,2026-07-14T04:32:05.709491+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/e544881d7018/lyrics.lrc,youtube_transcript,43,False,False,False,False,"{'delta_h': 71.10728534527777, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
114a498df8bb,qiu_yu_zhi_fu_d5034b96,讓愛走動,秋雨之福,2026-07-17 03:38:15 UTC,2026-07-14T04:31:45+00:00,71.10837059416667,job_31041813eaab,job_321d60fa9b7e,2026-07-17T03:38:09.261619+00:00,2026-07-17 03:38:09 UTC,2026-07-14T04:31:46.016753+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/114a498df8bb/lyrics.lrc,youtube_transcript,46,False,False,False,False,"{'delta_h': 71.10837059416667, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
50b2de3b916c,bao_zuo_qian_de_jing_bai_6e9f8be0,讓愛走動,寶座前的敬拜,2026-07-17 03:38:14 UTC,2026-07-14T04:30:25+00:00,71.13036061694444,job_c9c6c8447db1,job_5dfc32fddc9f,2026-07-17T03:38:13.125336+00:00,2026-07-17 03:38:13 UTC,2026-07-14T04:30:25.490704+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/50b2de3b916c/lyrics.lrc,youtube_transcript,72,False,False,False,False,"{'delta_h': 71.13036061694444, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
